id_trajectory,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]","[-0.05236, 0.0]",1
0,1,"[0, 0, 1, 0, 0, 0]","[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]","[-0.03491, 0.0]",1
0,2,"[0, 0, 1, 0, 0, 0]","[11.457200491345448, -3.721061670062575, 8.307942752869776, 0.48567906449866777, -0.2816568397378461, 0.0025787736836813476]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]","[-0.01745, 0.0]",1
0,3,"[0, 0, 1, 0, 0, 0]","[20.172401996002417, -7.0122986552399595, 10.292614117139038, 0.359680553937888, -0.3349040138382712, 0.00029984408876956604]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]","[-0.06981, 0.0]",1
0,4,"[0, 0, 1, 0, 0, 0]","[29.925808324689363, -7.319602801457989, 8.56207353781829, 0.6607443044694562, 0.3924374858214092, 0.017563955839737657]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]","[-0.0, 0.0]",1
0,5,"[0, 0, 1, 0, 0, 0]","[36.7724541530013, -6.185800517784642, 6.195684444441244, 0.4214012469448657, -0.012988291899309662, -0.01536794217826315]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]","[-0.0, 0.0]",1
0,6,"[0, 0, 1, 0, 0, 0]","[43.31072909887067, -8.241545228060122, 8.154552302280834, 0.30007179722131755, -0.4382845305132281, -0.010324472445025375]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]","[-0.10472, 0.0]",1
0,7,"[0, 0, 1, 0, 0, 0]","[51.371360477590834, -8.840662364486834, 7.1148578454969424, 0.7958160434139145, 0.4737092979316829, 0.022181413454052622]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]","[-0.0, 0.0]",1
0,8,"[0, 0, 1, 0, 0, 0]","[56.78154852558275, -7.89971516527573, 4.957073503103977, 0.5216360302046325, -0.048262227110656725, -0.02011026473330115]","[57.567204330408806, -7.227249063128963, 0, 0, 0, 0]",[],1
1,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[48.81121560345746, -17.346577034386513, 0, 0, 0, 0]","[-0.0, 0.0]",1
1,1,"[0, 0, 1, 0, 0, 0]","[4.833593742993324, -1.9561447297269416, 7.023492212473488, 0.33250685111525674, -0.53210536563414, -0.011984719408558431]","[48.81121560345746, -17.346577034386513, 0, 0, 0, 0]","[-0.01745, 0.0]",1
1,2,"[0, 0, 1, 0, 0, 0]","[12.372279371580719, -7.233444356472249, 11.197549274327457, 0.32787400882419043, -0.564533901982353, 0.002735608037242335]","[48.81121560345746, -17.346577034386513, 0, 0, 0, 0]","[-0.01745, 0.0]",1
1,3,"[0, 0, 1, 0, 0, 0]","[23.22822619002, -13.511724361467497, 13.559370944272544, 0.3349177053291896, -0.4204654156306958, 0.005765728648799595]","[48.81121560345746, -17.346577034386513, 0, 0, 0, 0]","[-0.01745, 0.0]",1
1,4,"[0, 0, 1, 0, 0, 0]","[36.20678576262511, -18.262881140713937, 13.836659346613116, 0.34627485883809783, -0.23296957107535798, 0.0057458034559548]","[48.81121560345746, -17.346577034386513, 0, 0, 0, 0]","[-0.05236, 0.0]",1
1,5,"[0, 0, 1, 0, 0, 0]","[48.26374319879707, -17.10527220557637, 10.02494684312381, 0.5659593055499733, 0.5022733048812396, 0.01655060746561568]","[48.81121560345746, -17.346577034386513, 0, 0, 0, 0]",[],1
2,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.05236, 0.0]",1
